email,proyecto,horas_trabajadas,rol
empleado0001@empresa-analitica.com,Gamma,106,Líder técnico
empleado0002@empresa-analitica.com,Beta,113,Consultor
empleado0003@empresa-analitica.com,Beta,165,Líder técnico
empleado0004@empresa-analitica.com,Delta,120,Desarrollador
empleado0005@empresa-analitica.com,Alpha,138,Soporte
empleado0006@empresa-analitica.com,Omega,92,Desarrollador
empleado0007@empresa-analitica.com,Omega,107,Soporte
empleado0008@empresa-analitica.com,Gamma,96,Líder técnico
empleado0009@empresa-analitica.com,Alpha,111,Líder técnico
empleado0010@empresa-analitica.com,Gamma,100,Consultor
empleado0011@empresa-analitica.com,Omega,170,Líder técnico
empleado0012@empresa-analitica.com,Omega,163,Soporte
empleado0013@empresa-analitica.com,Alpha,165,Soporte
empleado0014@empresa-analitica.com,Gamma,164,Desarrollador
empleado0015@empresa-analitica.com,Beta,113,Desarrollador
empleado0016@empresa-analitica.com,Alpha,175,Soporte
empleado0017@empresa-analitica.com,Beta,114,Líder técnico
empleado0018@empresa-analitica.com,Omega,106,Líder técnico
empleado0019@empresa-analitica.com,Beta,167,Líder técnico
empleado0020@empresa-analitica.com,Omega,142,Líder técnico
empleado0021@empresa-analitica.com,Alpha,91,Consultor
empleado0022@empresa-analitica.com,Gamma,85,Desarrollador
empleado0023@empresa-analitica.com,Gamma,178,Analista
empleado0024@empresa-analitica.com,Nexus,113,Analista
empleado0025@empresa-analitica.com,Nexus,136,Soporte
empleado0026@empresa-analitica.com,Nexus,134,Soporte
empleado0027@empresa-analitica.com,Alpha,94,Desarrollador
empleado0028@empresa-analitica.com,Nexus,99,Soporte
empleado0029@empresa-analitica.com,Alpha,127,Soporte
empleado0030@empresa-analitica.com,Omega,98,Consultor
empleado0031@empresa-analitica.com,Beta,85,Líder técnico
empleado0032@empresa-analitica.com,Gamma,85,Líder técnico
empleado0033@empresa-analitica.com,Beta,167,Analista
empleado0034@empresa-analitica.com,Nexus,93,Líder técnico
empleado0035@empresa-analitica.com,Omega,132,Soporte
empleado0036@empresa-analitica.com,Nexus,99,Analista
empleado0037@empresa-analitica.com,Beta,102,Consultor
empleado0038@empresa-analitica.com,Alpha,102,Líder técnico
empleado0039@empresa-analitica.com,Delta,165,Analista
empleado0040@empresa-analitica.com,Gamma,100,Desarrollador
empleado0041@empresa-analitica.com,Delta,84,Consultor
empleado0042@empresa-analitica.com,Beta,105,Consultor
empleado0043@empresa-analitica.com,Gamma,119,Analista
empleado0044@empresa-analitica.com,Beta,83,Analista
empleado0045@empresa-analitica.com,Delta,122,Líder técnico
empleado0046@empresa-analitica.com,Alpha,178,Líder técnico
empleado0047@empresa-analitica.com,Gamma,162,Soporte
empleado0048@empresa-analitica.com,Delta,166,Soporte
empleado0049@empresa-analitica.com,Gamma,83,Desarrollador
empleado0050@empresa-analitica.com,Gamma,102,Soporte
empleado0051@empresa-analitica.com,Gamma,84,Desarrollador
empleado0052@empresa-analitica.com,Omega,135,Líder técnico
empleado0053@empresa-analitica.com,Nexus,180,Líder técnico
empleado0054@empresa-analitica.com,Delta,157,Soporte
empleado0055@empresa-analitica.com,Alpha,129,Soporte
empleado0056@empresa-analitica.com,Beta,112,Desarrollador
empleado0057@empresa-analitica.com,Nexus,135,Desarrollador
empleado0058@empresa-analitica.com,Omega,148,Analista
empleado0059@empresa-analitica.com,Gamma,135,Desarrollador
empleado0060@empresa-analitica.com,Nexus,122,Soporte
empleado0061@empresa-analitica.com,Gamma,164,Desarrollador
empleado0062@empresa-analitica.com,Nexus,118,Soporte
empleado0063@empresa-analitica.com,Gamma,165,Consultor
empleado0064@empresa-analitica.com,Gamma,131,Líder técnico
empleado0065@empresa-analitica.com,Omega,96,Analista
empleado0066@empresa-analitica.com,Delta,165,Consultor
empleado0067@empresa-analitica.com,Nexus,175,Analista
empleado0068@empresa-analitica.com,Omega,152,Líder técnico
empleado0069@empresa-analitica.com,Delta,150,Desarrollador
empleado0070@empresa-analitica.com,Gamma,116,Analista
empleado0071@empresa-analitica.com,Delta,180,Soporte
empleado0072@empresa-analitica.com,Omega,163,Líder técnico
empleado0073@empresa-analitica.com,Delta,136,Consultor
empleado0074@empresa-analitica.com,Nexus,107,Soporte
empleado0075@empresa-analitica.com,Delta,174,Analista
empleado0076@empresa-analitica.com,Nexus,90,Líder técnico
empleado0077@empresa-analitica.com,Omega,164,Soporte
empleado0078@empresa-analitica.com,Gamma,91,Analista
empleado0079@empresa-analitica.com,Nexus,119,Analista
empleado0080@empresa-analitica.com,Beta,98,Desarrollador
