nombre,email,departamento,puesto,sueldo,antigüedad
Albano Llopis Hierro,empleado0001@empresa-analitica.com,Operaciones,Coordinador,23639,8
Buenaventura de Bonet,empleado0002@empresa-analitica.com,IT,Desarrollador,31144,3
Ileana Antón-Andrés,empleado0003@empresa-analitica.com,Operaciones,Analista de Procesos,57741,2
César Guerrero Vazquez,empleado0004@empresa-analitica.com,Finanzas,Analista Financiero,24082,0
Alba Mar Flor Rivas,empleado0005@empresa-analitica.com,Ventas,Comercial,37247,0
Jacobo del Agudo,empleado0006@empresa-analitica.com,Finanzas,Contable,64590,13
Paco Rocamora Nieto,empleado0007@empresa-analitica.com,IT,DevOps,60618,8
Casemiro Garrido-Navarro,empleado0008@empresa-analitica.com,Ventas,Comercial,49696,10
Arturo Pinto Caballero,empleado0009@empresa-analitica.com,RRHH,Técnico RRHH,36110,10
Soraya Núñez Lamas,empleado0010@empresa-analitica.com,Ventas,Comercial,46898,3
Pánfilo Segovia Casanovas,empleado0011@empresa-analitica.com,RRHH,Responsable de Formación,61565,8
Ani Marcos Pardo,empleado0012@empresa-analitica.com,Ventas,Account Manager,52108,3
Celia Baños-Arroyo,empleado0013@empresa-analitica.com,Marketing,Content Manager,58178,9
Rolando del Bernal,empleado0014@empresa-analitica.com,Operaciones,Analista de Procesos,45700,6
Toribio de Pinto,empleado0015@empresa-analitica.com,Operaciones,Coordinador,25003,7
Javi Patiño-Cánovas,empleado0016@empresa-analitica.com,RRHH,Técnico RRHH,37256,3
Felicidad Gallego Lasa,empleado0017@empresa-analitica.com,Marketing,Analista Digital,51714,11
Marco Donoso Hierro,empleado0018@empresa-analitica.com,IT,DevOps,45283,6
Jerónimo Pino Lerma,empleado0019@empresa-analitica.com,Operaciones,Jefe de Proyecto,64469,2
Constanza del Barba,empleado0020@empresa-analitica.com,Finanzas,Controller,33215,7
Segismundo de Moles,empleado0021@empresa-analitica.com,IT,DevOps,46867,8
Edelmira Batalla Galván,empleado0022@empresa-analitica.com,Operaciones,Analista de Procesos,58500,7
Valentina Miranda-Garcia,empleado0023@empresa-analitica.com,Operaciones,Jefe de Proyecto,25665,7
Gertrudis Segarra Clavero,empleado0024@empresa-analitica.com,Ventas,Jefe de Ventas,48290,8
Buenaventura Huerta-Jódar,empleado0025@empresa-analitica.com,Ventas,Comercial,59170,10
Inés Pujol-Paredes,empleado0026@empresa-analitica.com,IT,Arquitecto de Software,54717,12
Bruno del Bou,empleado0027@empresa-analitica.com,Operaciones,Jefe de Proyecto,31363,8
Tito Canals Coronado,empleado0028@empresa-analitica.com,IT,Desarrollador,58789,8
Ruy Roca Bartolomé,empleado0029@empresa-analitica.com,Operaciones,Analista de Procesos,50077,12
Francisca Solé Ángel,empleado0030@empresa-analitica.com,RRHH,Técnico RRHH,31065,15
Leonel Alberdi-Carbó,empleado0031@empresa-analitica.com,Ventas,Comercial,29185,4
